username,userid,profile_location,created_at,text,retweet_count,source,coordinates
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,@KatiePhang Makes no difference. Chauvin continued to hold his knee on Floyd's neck a full 3 minutes after he loss… https://t.co/wfvdng2BQ8,0,Twitter Web App,
Mona Austin,20745988,National,2009-02-13 03:55:51,BREAKING: Officer Kim Potter has been charged with 2nd degree manslaughter in the death of Daunte Wright. #BLM #DaunteWright #SayHisName,0,Twitter Web App,
🇺🇸The American Reveille🇺🇸,1244142766851887104,"Seattle, WA",2020-03-29 06:02:13,"🔥 😠 The Hard Truth About Duante Wright, the Cop that Killed Him, and the Ongoing Riots | Ep 122

#duantewright… https://t.co/9YiOQTIMn3",0,Twitter for iPhone,
Dawn Allen,481703535,"Seattle, WA",2012-02-03 02:43:10,Why can’t others understand that their experiences and not shared by everyone? #think #frustrated #blm,0,Twitter for iPhone,
babakofi,18578953,"Seattle, WA",2009-01-03 13:25:46,"Joe Biden’s Response to Daunte Wright’s Murder is Tone Deaf and Infuriating #BLM
https://t.co/ICi1YNejtb https://t.co/rJxortrjw6",0,Hootsuite Inc.,
Christopher E. Stith,337563460,"Houston, TX",2011-07-18 06:49:53,"RT @MHarbingerSFF: Hey, let's just for a moment—I mean, JUST FOR A FRACTION OF A SECOND—let's try to imagine THE HORRORS that were being pe…",1,Twitter Web App,
Conrad Harney,3291801711,"Seattle, WA",2015-05-20 19:57:18,"@nowthisnews Either way, a life was lost, Simply put, a life lost. Sad. Yes We need rehaul training of PD &amp; he shou… https://t.co/UnkIPgNPPf",0,Twitter for Android,
TJM,348789538,"Seattle, WA",2011-08-05 00:41:52,"Black Lives Matter. If this doesn’t speak to you, Unfriend me/Unfollow me because that shows me that you wouldn’t c… https://t.co/254GL2ysW2",0,Instagram,
James Holt,1305388932461481984,,2020-09-14 06:13:33,RT @SleepyAddicts: 🔥Geez- new fencing around Lafayette PaRk in DC-prepping for pointless riots/protests #BLM #ANTIFA 🙄 enough already!! Not…,1,Twitter for Android,
Sleepy Hollow Addict,2224226376,Seattle,2013-12-01 04:44:50,🔥Geez- new fencing around Lafayette PaRk in DC-prepping for pointless riots/protests #BLM #ANTIFA 🙄 enough already!… https://t.co/P0KpHBR5rD,1,Twitter for iPhone,
Dawn Dailey,3291470983,"Seattle, WA",2015-07-25 00:26:44,"This Saturday, please show solidarity with the API community at Hing Hay Park. Thank you. #stopasianhate #blm… https://t.co/16VSJi7Tqb",0,Twitter for Android,
Nikale Renoir,29913066,"Tacoma, WA",2009-04-09 03:46:42,A misdemeanor is not the same as a felony. A taser is not the same as a 9mm handgun. #DaunteWright wasn’t dangerous… https://t.co/Z0M4zSfzWE,0,Twitter for iPhone,
Mark R R Writer R R sorry R R engine won't start,882062717682503680,"Seattle, WA",2017-07-04 02:25:14,"Hey, let's just for a moment—I mean, JUST FOR A FRACTION OF A SECOND—let's try to imagine THE HORRORS that were bei… https://t.co/UwEsmsSjIJ",1,Twitter Web App,
JeffEmig,1353550437207564288,OLYMPIA WA,2021-01-25 03:49:26,#BLM doing #BLM thangs get ready for the summer of love https://t.co/KMgM76WzL4,1,Twitter for Android,
nick✏️ (hates freedom),2277092508,sea,2014-01-05 04:38:01,"RT @Sadenochill: ""Enough is enough. We're standing together in solidarity. You will not separate these families. You will not isolate these…",2,Twitter for iPhone,
Ryan,322397118,"Arlington, WA",2011-06-23 03:21:18,"@SamHarrisOrg @KyleKashuv @sullydish Yes the co-founder of #BLM is now a mansion owner, in a predominantly white ne… https://t.co/V7c5G8wJh4",0,Twitter for Android,
Frankie Pierri,1339997760670470144,"Seattle, WA",2020-12-18 18:15:45,Funny how half the country has NO problem “questioning” a vaccine and the institutions behind it because they think… https://t.co/RHscyvLwdk,1,Twitter for iPhone,
Sade' A. Smith (she/her),96160300,"Seattle, WA",2009-12-11 16:42:47,"""Enough is enough. We're standing together in solidarity. You will not separate these families. You will not isolat… https://t.co/xDrcFJj33m",2,Twitter for Android,
Nikkia T. Carter #BlackLivesMatter #WearAMask,83600197,"Redmond, WA",2009-10-19 13:34:24,“We can’t address police brutality without addressing #Black grief” &lt;- Exactly how I feel. We are being traumatized… https://t.co/PBHt8MABCP,0,Twitter for iPhone,
JSEL🇺🇸🏳️‍🌈🏳️‍⚧️BLM,743310824500957185,"Tacoma, WA",2016-06-16 05:14:45,We need to change now! #BLM #whiteamerica #American #USA #enoughisenougth https://t.co/8Q70V2kx4l,0,Twitter for iPhone,
