username,userid,profile_location,created_at,text,retweet_count,source,coordinates
megan,154147895,"Seattle, WA",2023-01-11 18:00:46,"@fenderguy64 @RayaRizona78 @AirGordo78 @RepJeffries Some on the left, of course. What do you mean BLM scam?",0,Twitter for iPhone,
Freedom Reels,1595226877605838848,"Seattle, WA",2023-01-11 16:24:40,@THR Biggest grifter since BLM,0,Twitter for iPhone,
Stephen,23994049,"Seattle, WA",2023-01-11 02:38:28,"@pjensenbissell @spizzyspose Also, we all are the byproduct of CYY and BLM",0,Twitter for iPhone,
Pieter Henning,1493244990,S.E.A.,2023-01-11 01:46:02,"@Emilio2763 BLM go girls, mix with the beasties, take your punishment like a man",0,Twitter Web App,
pat frost,1302371982097350656,Seattle,2023-01-11 01:24:16,"@KIRO7Seattle Since the BLM Riots and Defund the Police movement in 2020, the Puget Sound Business Journal analysis… https://t.co/JUGRKSKpoT",0,Twitter Web App,
MSN,15856435,"Redmond, WA, USA",2023-01-11 01:21:01,Georgia district sued by Black students for banning pro-BLM attire: 'Unconstitutional' https://t.co/IMUWG9Qdpk,1,OxfordBlue-Twitter,
MGOMARLEY🏁,1352359349360857088,"Seattle, WA",2023-01-11 00:27:50,@Anaba1980 @TorraineWalker Seeing the murder rates in the inner city  since blm 2020 prove her point ….,0,Twitter for iPhone,
Tim,955522133563654144,"Seattle, WA",2023-01-10 21:01:44,@bjboogie02 @jseattle Colorful BLM is still above the bathrooms.,0,Twitter for iPhone,
"What’s Your Damage, Heather?",1356437353598832641,"Seattle, WA",2023-01-10 20:44:11,"@yldreamin69 @ZaleskiLuke @RepMattGaetz Again, they can’t definitively conclude that it was a result of the injurie… https://t.co/To6NUbBQ1H",0,Twitter for iPhone,
WA Ethnic Studies Now,1259894251460022272,"Seattle, WA",2023-01-10 20:17:10,"Join WAESN &amp; SCORE to prep for #BlackLivesMatterAtSchool week of action!

Learn history of this movement, hear from… https://t.co/UyBIdMO1Rm",1,Twitter for Android,
