username,user_url,title,view_num,created_at,video_url,shortdesc,collected_at
VICE,/user/vice,What Really Happened at Standing Rock | I Was There,703K,703K views,/watch?v=J1yD2J8vHAk,"In 2016, indigenous water protectors and their allies gathered at Standing Rock to oppose the construction of the Dakota Access ...",2021-04-14 09:17:17.436111
Taboo,/channel/UC5aqukzSeAj9etVpQpct88A,Stand Up / Stand N Rock #NoDAPL (Official Video),2.8M,2.8M views,/watch?v=Onyk7guvHK8,"Hip Hop Caucus, creator of People's Climate Music, has partnered with Taboo, solo Hip Hop artist and member of the Grammy ...",2021-04-14 09:17:17.437109
Cray Novick,/channel/UCrFazgm3d1cNLGqVXNHHT5g,Water Protectors -- Standing Rock 2020,2.2K,2.2K views,/watch?v=ply14OGxq5Q,"Mni Wconi -- water is life. This film is a rallying cry for us all to be called as water protectors, as protectors of life on planet earth.",2021-04-14 09:17:17.439103
Democracy Now!,/user/democracynow,Remembering LaDonna Brave Bull Allard: Standing Rock Elder Helped Lead 2016 Anti-DAPL Uprising,4.3K,4.3K views,/watch?v=0L_xBJb_stQ,"LaDonna Brave Bull Allard, Standing Rock Sioux tribal historian, has died of cancer at the age of 64, and we look back on her ...",2021-04-14 09:17:17.439103
TED,/user/TEDtalksDirector,The Standing Rock resistance and our fight for indigenous rights | Tara Houska,111K,111K views,/watch?v=wD3-6JIUF7M,"Still invisible and often an afterthought, indigenous peoples are uniting to protect the world's water, lands and history -- while ...",2021-04-14 09:17:17.441098
Vox,/user/voxdotcom,"The fight over the Dakota Access Pipeline, explained",396K,396K views,/watch?v=qJZ1-LAFOTo,How Native Americans and environmentalists stopped a $3.8 billion oil pipeline. Subscribe to our channel! http://goo.gl/0bsAjO ...,2021-04-14 09:17:17.441098
ABC News,/user/ABCNews,The Seventh Generation: Youth at the Heart of the Standing Rock Protests | ABC News,66K,66K views,/watch?v=1Rz_TkpysKk,"For months, the International Indigenous Youth Council has helped steer the Standing Rock Sioux Tribe's opposition to the ...",2021-04-14 09:17:17.443092
Yolanda Pushetonequa,/channel/UCmOES9NqszZi5PKdaoTLPhQ,Standing Rock by Trevor Hall with footage #NoDAPL #StandingRock,320K,320K views,/watch?v=dyzzEnRR8f8,New video with footage. Pulled from Buzzfeed. Original youtube video without footage was originally uploaded 8-31-16 and its ...,2021-04-14 09:17:17.443092
Jukin Media,/user/JukinMedia,This is Happening | Dakota Access Pipeline protests,25K,25K views,/watch?v=cQZF7V6uEsI,This Episode takes a fresh look at the impassioned events at Standing Rock — the longest running protest in modern history ...,2021-04-14 09:17:17.444090
FUSION,/user/thisisfusion,The Naked Truth: Mark Ruffalo Speaks on Standing Rock & #NoDAPL,109K,109K views,/watch?v=P-nnzizoGQ4,"Sioux water protectors won a major victory over the the DAPL oil pipeline project at Standing Rock. Braving water cannons, dogs, ...",2021-04-14 09:17:17.445087
