STATEFP10,COUNTYFP10,COUNTYNS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CSAFP10,CBSAFP10,METDIVFP10,FUNCSTAT10,INTPTLON10,INTPTLAT10,ALANDM,AWATERM,ALANDMI,AWATERMI,POP10,HHP10,GQ10,HU10,OHU10,POPWHITE,POPBLACK,POPAIAN,POPASIAN,POPNHOPI,POPOTH,POPTWO,POPHISP,POPWHITE2,POPBLACK2,POPAIAN2,POPASIAN2,POPNHOPI2,POPOTH2,POPTWO2
"53","001","01531601","53001",Adams,Adams County,"06",H1,G4020,,,,A,-118.5333078,47.0048395,"4985668796","12623299",1924.978,4.874,"18728","18566","162","6242","5720","11703","109","356","125","4","5899","532","11099","7262","47","76","99","3","18","124"
"53","003","01533502","53003",Asotin,Asotin County,"06",H1,G4020,,"30300",,A,-117.2277813,46.1818612,"1647784012","11475136",636.213,4.431,"21623","21449","174","9872","9236","20392","92","302","117","36","163","521","643","20026","89","272","114","36","12","431"
"53","005","01513302","53005",Benton,Benton County,"06",H1,G4020,,"28420",,A,-119.5168636,46.2280720,"4403961281","154412831",1700.379,59.619,"175177","173751","1426","68618","65304","144418","2221","1574","4691","253","15798","6222","32696","130437","2031","1280","4621","221","260","3631"
"53","007","01531932","53007",Chelan,Chelan County,"06",H1,G4020,,"48300",,A,-120.6185425,47.8598915,"7564124657","189992686",2920.525,73.357,"72453","71525","928","35465","27827","57484","236","700","588","100","11355","1990","18713","51202","177","514","570","89","76","1112"
"53","009","01531341","53009",Clallam,Clallam County,"06",H1,G4020,,"38820",,A,-123.9306111,48.1130086,"4502251295","2414668004",1738.329,932.309,"71404","69505","1899","35582","31329","62092","596","3630","1007","94","1269","2716","3627","60400","558","3326","993","86","114","2300"
"53","011","01531820","53011",Clark,Clark County,"06",H1,G4020,,"38900",,A,-122.4859027,45.7716737,"1629112686","70523141",629.004,27.229,"425363","422153","3210","167413","158099","363397","8426","3624","17504","2708","12485","17219","32166","347793","8025","2970","17276","2589","639","13905"
"53","013","01513273","53013",Columbia,Columbia County,"06",H1,G4020,,,,A,-117.9116345,46.2928505,"2249738808","12566851",868.629,4.852,"4078","4003","75","2136","1762","3791","12","58","23","14","71","109","254","3649","12","47","23","14","9","70"
"53","015","01529156","53015",Cowlitz,Cowlitz County,"06",H1,G4020,,"31020",,A,-122.6586822,46.1859234,"2952910628","67563094",1140.125,26.086,"102410","101203","1207","43450","40244","91069","642","1570","1500","232","3575","3822","7975","87825","572","1361","1472","209","64","2932"
"53","017","01531818","53017",Douglas,Douglas County,"06",H1,G4020,,"48300",,A,-119.6958798,47.7358661,"4711872269","76122749",1819.264,29.391,"38431","38241","190","16004","13894","30573","128","405","283","52","5979","1011","11013","26070","85","293","269","51","52","598"
"53","019","01531821","53019",Ferry,Ferry County,"06",H1,G4020,,,,A,-118.5170739,48.4372459,"5706154501","140280530",2203.159,54.163,"7551","7299","252","4403","3190","5758","26","1259","52","8","89","359","254","5662","18","1215","52","8","8","334"
