id,pressure,temperature,humidity
1583302022, 1014.38, 33.78, 29.32 
1583302082, 1014.46, 33.38, 29.53 
1583302202, 1014.27, 33.23, 29.85 
1583302442, 1014.43, 32.62, 29.02 
1583302563, 1014.35, 34.06, 28.97 
1583302683, 1014.30, 34.68, 28.47 
1583302802, 1014.34, 34.89, 27.95 
1583302922, 1014.34, 35.31, 27.84 
1583303042, 1014.17, 35.53, 27.64 
1583303047, 1014.14, 35.51, 27.57 
1583303082, 1014.15, 35.77, 27.30 
1583303167, 1014.12, 35.92, 25.53 
1583303282, 1014.06, 36.10, 27.15 
1583303403, 1014.00, 35.97, 26.86 
1583303522, 1014.00, 35.84, 26.73 
1583303642, 1014.05, 35.59, 27.22 
1583304003, 1014.05, 27.83, 32.66 
1583304303, 1013.88, 20.23, 47.23 
1583304603, 1013.57, 20.69, 48.50 
1583304902, 1013.50, 23.08, 44.41 
1583305203, 1014.06, 23.50, 43.55 
1583305502, 1014.49, 24.50, 42.52 
1583305802, 1014.88, 23.58, 42.10 
1583306102, 1014.79, 22.60, 44.76 
1583306403, 1014.96, 24.77, 41.11 
1583306703, 1014.83, 24.55, 41.68 
1583307003, 1014.95, 23.78, 42.16 
1583307303, 1014.93, 24.81, 40.96 
1583307602, 1015.05, 24.83, 40.19 
1583307902, 1014.99, 23.54, 42.26 
1583308203, 1015.29, 24.48, 40.58 
1583308502, 1015.54, 23.34, 39.99 
1583308803, 1015.39, 24.81, 39.93 
1583309103, 1015.54, 25.38, 39.57 
1583309402, 1015.39, 25.21, 39.74 
1583309707, 1015.24, 24.74, 40.25 
1583310003, 1015.40, 25.55, 39.29 
1583310303, 1015.53, 25.32, 39.19 
1583310603, 1015.63, 25.53, 38.86 
1583310903, 1015.71, 25.55, 38.82 
1583311202, 1015.66, 25.55, 38.74 
1583311502, 1015.87, 25.18, 39.27 
1583311802, 1016.12, 25.18, 39.75 
1583312102, 1015.95, 24.79, 39.56 
1583312412, 1016.08, 24.31, 39.39 
1583312702, 1016.35, 24.87, 39.35 
1583313003, 1016.56, 25.20, 38.80 
1583313303, 1016.82, 25.31, 40.22 
1583313603, 1017.10, 25.21, 37.48 
1583313903, 1017.45, 25.38, 36.43 
1583314203, 1017.45, 25.64, 37.77 
1583314503, 1017.62, 25.40, 37.27 
1583314803, 1017.71, 25.66, 36.58 
1583315103, 1017.73, 25.55, 36.77 
1583315403, 1017.90, 25.23, 37.00 
